E;N;vit;norsk;cat;kat;gruppe;col;size
600121.5828415039;6651909.405208968;Accipiter gentilis;hønsehauk;NT;Nær truet;Fugler;#ed6c26;2
600235.4985845041;6653105.16450315;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
602417.2371827951;6650515.867425751;Columba palumbus;ringdue;LC;Livskraftig;Fugler;#60beb2;1.5
600236.4985618937;6652442.004624289;Dendrocopos major;flaggspett;LC;Livskraftig;Fugler;#60beb2;1.5
603000.230766995;6651500.038562356;Anthus trivialis;trepiplerke;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Erithacus rubecula;rødstrupe;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
600236.4985618937;6652442.004624289;Pyrrhula pyrrhula;dompap;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Cyanistes caeruleus;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
598897.9856521322;6652682.649330676;Cyanistes caeruleus;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Certhia familiaris;trekryper;LC;Livskraftig;Fugler;#60beb2;1.5
599129.8201172816;6652542.798787984;Corvus cornix;kråke;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Cyanistes caeruleus;blåmeis;LC;Livskraftig;Fugler;#60beb2;1.5
598897.9856521322;6652682.649330676;Pica pica;skjære;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Erithacus rubecula;rødstrupe;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
599208.5109609831;6651014.654580258;Garrulus glandarius;nøtteskrike;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Poecile palustris;løvmeis;LC;Livskraftig;Fugler;#60beb2;1.5
599859.9973104014;6652238.142523267;Acrocephalus palustris;myrsanger;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Tetrastes bonasia;myrsanger;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Chloris chloris;myrsanger;LC;Livskraftig;Fugler;#60beb2;1.5
600289.4384028151;6653095.5999689195;Parus major;kjøttmeis;LC;Livskraftig;Fugler;#60beb2;1.5
602689.140644449;6651199.88131528;Turdus merula;svarttrost;LC;Livskraftig;Fugler;#60beb2;1.5
